Rec,State,Year,NO2 Mean,NO2 1st Max Value,NO2 AQI,O3 Mean,O3 1st Max Value,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 AQI,CO Mean,CO 1st Max Value,CO AQI,average_AQI,WEEK,REGION,Pneumonia and Influenza Deaths,All Deaths,<1 year (all cause deaths),1-24 years (all cause deaths),25-44 years,45-64 years (all cause deaths),65+ years (all cause deaths)
165,Hawaii,2013,3.1310940089020742,10.216617210682493,9.664688427299703,0.028325413452027583,0.03439960435212684,29.176063303659742,1.2718516300692395,1.9498021760633089,2.1788046731646817,0.40634003560830945,0.4730464886251296,4.498964816844727,11.379630305242213,26.5,9.0,8.865384615384615,77.01923076923077,1.8269230769230769,1.4423076923076923,3.326923076923077,13.865384615384615,56.55769230769231
166,Hawaii,2014,3.5465161742996654,9.419475322365608,8.54290795909293,0.023915312583370343,0.029724321920853482,27.519341929746552,0.9761647972432198,1.9969764339706548,2.383365120603308,0.28625176433970706,0.3410315695864868,3.7960589994405747,10.560418502220841,27.0,9.0,8.50943396226415,78.83018867924528,1.1320754716981132,1.4339622641509433,3.69811320754717,15.867924528301886,56.528301886792455
167,Hawaii,2015,3.540778029009567,9.507791131371773,8.674678823041857,0.024061263157894662,0.029337753833402827,27.154993783671777,1.0904569740986412,2.1506837961044347,2.435596037354192,0.2931776176958105,0.344701616245333,3.8242832966074047,10.522387985168809,26.5,9.0,9.384615384615385,82.73076923076923,1.4038461538461537,0.9423076923076923,2.9038461538461537,14.153846153846153,63.32692307692308
168,Hawaii,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,9.0,9.384615384615385,88.6923076923077,1.5384615384615385,1.0769230769230769,3.58974358974359,15.974358974358974,66.51282051282051
169,Idaho,2000,25.9423,42.7453,40.4157,0.0408353,0.0501655,43.1472,4.30707,6.65621,7.93535,0.721985,1.094762,10.577235,25.51887125,26.5,8.0,3.5384615384615383,42.30769230769231,1.1730769230769231,0.8846153846153846,2.0576923076923075,6.903846153846154,31.28846153846154
170,Idaho,2001,23.75141662589928,40.51940335731415,38.31435523581135,0.04006815715427658,0.05016549640287769,43.142834852118305,3.852696224620304,6.033697458033573,7.158808919330533,0.6552293197442046,0.9965302509992007,9.656748405374135,24.56818685315858,26.5,8.0,3.230769230769231,42.71153846153846,0.7115384615384616,1.1730769230769231,2.480769230769231,7.019230769230769,31.307692307692307
171,Idaho,2002,21.56053325179856,38.29350671462829,36.2130104716227,0.039301014308553164,0.05016549280575539,43.13846970423661,3.3983224492406077,5.411184916067146,6.382267838661066,0.5884736394884093,0.8982985019984013,8.736261810748267,23.617502456317162,26.5,8.0,3.019230769230769,44.73076923076923,1.0192307692307692,0.9807692307692307,2.5,8.0,32.23076923076923
172,Idaho,2003,19.369649877697842,36.06761007194245,34.11166570743406,0.038533871462829744,0.050165489208633084,43.13410455635491,2.9439486738609117,4.788672374100718,5.605726757991599,0.521717959232614,0.8000667529976021,7.815775216122402,22.666818059475744,27.0,8.0,3.69811320754717,44.77358490566038,1.2075471698113207,1.2830188679245282,2.2264150943396226,8.0,32.056603773584904
173,Idaho,2004,17.178766503597124,33.84171342925659,32.010320943245404,0.037766728617106324,0.05016548561151078,43.12973940847322,2.489574898481215,4.1661598321342925,4.8291856773221316,0.45496227897681857,0.7018350039968028,6.895288621496537,21.71613366263432,26.5,8.0,3.326923076923077,43.92307692307692,1.1538461538461537,1.25,2.25,8.173076923076923,31.096153846153847
174,Idaho,2005,14.987883129496403,31.61581678657074,29.908976179056754,0.03699958577138291,0.050165482014388474,43.12537426059153,2.035201123101519,3.5436472901678653,4.052644596652665,0.3882065987210232,0.6036032549960034,5.9748020268706705,20.765449265792903,26.5,8.0,3.75,49.23076923076923,1.2115384615384615,0.9230769230769231,1.9423076923076923,8.98076923076923,36.17307692307692
